participant.id_in_session;participant.code;participant.label;participant._is_bot;participant._index_in_pages;participant._max_page_index;participant._current_app_name;participant._round_number;participant._current_page_name;participant.ip_address;participant.time_started;participant.visited;participant.mturk_worker_id;participant.mturk_assignment_id;participant.payoff;player.id_in_group;player.subsession_id;player.group_id;player.payoff;group.id_in_subsession;group.n_linked_words;group.link_word;group.linked_words;group.confidence;group.guessing;group.how_success;group.is_success;group.subsession_id;subsession.round_number;session.code;session.label;session.experimenter_name;session.mturk_HITId;session.mturk_HITGroupId;session.comment;session.is_demo
2;cikvd8i6;;0;92;565;codenames;13;WaitForHQ;NA;2018-05-17 09:07:52.845319+00:00;1;;;0;2;515;1068;0;1;;;;;;;;515;35;c5ax67xj;;;;;;0
1;5k34w083;;0;90;565;codenames;13;Instructions;NA;2018-05-17 09:07:53.926585+00:00;1;;;0;2;516;1069;0;1;;;;;;;;516;36;c5ax67xj;;;;;;0
2;cikvd8i6;;0;92;565;codenames;13;WaitForHQ;NA;2018-05-17 09:07:52.845319+00:00;1;;;0;1;516;1069;0;1;;;;;;;;516;36;c5ax67xj;;;;;;0
1;5k34w083;;0;90;565;codenames;13;Instructions;NA;2018-05-17 09:07:53.926585+00:00;1;;;0;1;517;1070;0;1;;;;;;;;517;37;c5ax67xj;;;;;;0
2;cikvd8i6;;0;92;565;codenames;13;WaitForHQ;NA;2018-05-17 09:07:52.845319+00:00;1;;;0;2;517;1070;0;1;;;;;;;;517;37;c5ax67xj;;;;;;0
1;5k34w083;;0;90;565;codenames;13;Instructions;NA;2018-05-17 09:07:53.926585+00:00;1;;;0;2;518;1071;0;1;;;;;;;;518;38;c5ax67xj;;;;;;0
2;cikvd8i6;;0;92;565;codenames;13;WaitForHQ;NA;2018-05-17 09:07:52.845319+00:00;1;;;0;1;518;1071;0;1;;;;;;;;518;38;c5ax67xj;;;;;;0
1;5k34w083;;0;90;565;codenames;13;Instructions;NA;2018-05-17 09:07:53.926585+00:00;1;;;0;1;519;1072;0;1;;;;;;;;519;39;c5ax67xj;;;;;;0
2;cikvd8i6;;0;92;565;codenames;13;WaitForHQ;NA;2018-05-17 09:07:52.845319+00:00;1;;;0;2;519;1072;0;1;;;;;;;;519;39;c5ax67xj;;;;;;0
1;5k34w083;;0;90;565;codenames;13;Instructions;NA;2018-05-17 09:07:53.926585+00:00;1;;;0;2;520;1073;0;1;;;;;;;;520;40;c5ax67xj;;;;;;0
2;cikvd8i6;;0;92;565;codenames;13;WaitForHQ;NA;2018-05-17 09:07:52.845319+00:00;1;;;0;1;520;1073;0;1;;;;;;;;520;40;c5ax67xj;;;;;;0
1;5k34w083;;0;90;565;codenames;13;Instructions;NA;2018-05-17 09:07:53.926585+00:00;1;;;0;1;521;1074;0;1;;;;;;;;521;41;c5ax67xj;;;;;;0
2;cikvd8i6;;0;92;565;codenames;13;WaitForHQ;NA;2018-05-17 09:07:52.845319+00:00;1;;;0;2;521;1074;0;1;;;;;;;;521;41;c5ax67xj;;;;;;0
1;5k34w083;;0;90;565;codenames;13;Instructions;NA;2018-05-17 09:07:53.926585+00:00;1;;;0;2;522;1075;0;1;;;;;;;;522;42;c5ax67xj;;;;;;0
2;cikvd8i6;;0;92;565;codenames;13;WaitForHQ;NA;2018-05-17 09:07:52.845319+00:00;1;;;0;1;522;1075;0;1;;;;;;;;522;42;c5ax67xj;;;;;;0
1;5k34w083;;0;90;565;codenames;13;Instructions;NA;2018-05-17 09:07:53.926585+00:00;1;;;0;1;523;1076;0;1;;;;;;;;523;43;c5ax67xj;;;;;;0
2;cikvd8i6;;0;92;565;codenames;13;WaitForHQ;NA;2018-05-17 09:07:52.845319+00:00;1;;;0;2;523;1076;0;1;;;;;;;;523;43;c5ax67xj;;;;;;0
1;5k34w083;;0;90;565;codenames;13;Instructions;NA;2018-05-17 09:07:53.926585+00:00;1;;;0;2;524;1077;0;1;;;;;;;;524;44;c5ax67xj;;;;;;0
2;cikvd8i6;;0;92;565;codenames;13;WaitForHQ;NA;2018-05-17 09:07:52.845319+00:00;1;;;0;1;524;1077;0;1;;;;;;;;524;44;c5ax67xj;;;;;;0
1;5k34w083;;0;90;565;codenames;13;Instructions;NA;2018-05-17 09:07:53.926585+00:00;1;;;0;1;525;1078;0;1;;;;;;;;525;45;c5ax67xj;;;;;;0
2;cikvd8i6;;0;92;565;codenames;13;WaitForHQ;NA;2018-05-17 09:07:52.845319+00:00;1;;;0;2;525;1078;0;1;;;;;;;;525;45;c5ax67xj;;;;;;0
1;5k34w083;;0;90;565;codenames;13;Instructions;NA;2018-05-17 09:07:53.926585+00:00;1;;;0;2;526;1079;0;1;;;;;;;;526;46;c5ax67xj;;;;;;0
2;cikvd8i6;;0;92;565;codenames;13;WaitForHQ;NA;2018-05-17 09:07:52.845319+00:00;1;;;0;1;526;1079;0;1;;;;;;;;526;46;c5ax67xj;;;;;;0
1;5k34w083;;0;90;565;codenames;13;Instructions;NA;2018-05-17 09:07:53.926585+00:00;1;;;0;1;527;1080;0;1;;;;;;;;527;47;c5ax67xj;;;;;;0
2;cikvd8i6;;0;92;565;codenames;13;WaitForHQ;NA;2018-05-17 09:07:52.845319+00:00;1;;;0;2;527;1080;0;1;;;;;;;;527;47;c5ax67xj;;;;;;0
1;5k34w083;;0;90;565;codenames;13;Instructions;NA;2018-05-17 09:07:53.926585+00:00;1;;;0;2;528;1081;0;1;;;;;;;;528;48;c5ax67xj;;;;;;0
2;cikvd8i6;;0;92;565;codenames;13;WaitForHQ;NA;2018-05-17 09:07:52.845319+00:00;1;;;0;1;528;1081;0;1;;;;;;;;528;48;c5ax67xj;;;;;;0
1;5k34w083;;0;90;565;codenames;13;Instructions;NA;2018-05-17 09:07:53.926585+00:00;1;;;0;1;529;1082;0;1;;;;;;;;529;49;c5ax67xj;;;;;;0
2;cikvd8i6;;0;92;565;codenames;13;WaitForHQ;NA;2018-05-17 09:07:52.845319+00:00;1;;;0;2;529;1082;0;1;;;;;;;;529;49;c5ax67xj;;;;;;0
1;5k34w083;;0;90;565;codenames;13;Instructions;NA;2018-05-17 09:07:53.926585+00:00;1;;;0;2;530;1083;0;1;;;;;;;;530;50;c5ax67xj;;;;;;0
2;cikvd8i6;;0;92;565;codenames;13;WaitForHQ;NA;2018-05-17 09:07:52.845319+00:00;1;;;0;1;530;1083;0;1;;;;;;;;530;50;c5ax67xj;;;;;;0
1;5k34w083;;0;90;565;codenames;13;Instructions;NA;2018-05-17 09:07:53.926585+00:00;1;;;0;1;531;1084;0;1;;;;;;;;531;51;c5ax67xj;;;;;;0
2;cikvd8i6;;0;92;565;codenames;13;WaitForHQ;NA;2018-05-17 09:07:52.845319+00:00;1;;;0;2;531;1084;0;1;;;;;;;;531;51;c5ax67xj;;;;;;0
1;5k34w083;;0;90;565;codenames;13;Instructions;NA;2018-05-17 09:07:53.926585+00:00;1;;;0;2;532;1085;0;1;;;;;;;;532;52;c5ax67xj;;;;;;0
2;cikvd8i6;;0;92;565;codenames;13;WaitForHQ;NA;2018-05-17 09:07:52.845319+00:00;1;;;0;1;532;1085;0;1;;;;;;;;532;52;c5ax67xj;;;;;;0
